body_name,body_label,assembly,mate_name,good_face_normal,thickness_mm,width_mm,height_mm,area_mm2,wire_count,edge_count,dxf_file
Cabinet1DrawerCabinetLowChannelBackLayer2Body,Cabinet 1 drawer cabinet low channel back — layer 2,Cabinet 1 — front left,Cabinet1DrawerCabinetLowChannelBackLayer1Body,+Y,5.800000000000001,914.8,79.20000000000002,71187.19518537335,7,14,profiles/Cabinet1DrawerCabinetLowChannelBackLayer2Body.dxf
Cabinet1DrawerCabinetHighChannelBackLayer1Body,Cabinet 1 drawer cabinet high channel back — layer 1,Cabinet 1 — front left,Cabinet1DrawerCabinetHighChannelBackLayer2Body,+Y,5.7999999999999545,914.8,79.20000000000002,71187.19518537371,7,14,profiles/Cabinet1DrawerCabinetHighChannelBackLayer1Body.dxf
Cabinet1DrawerCabinetHighChannelBackLayer2Body,Cabinet 1 drawer cabinet high channel back — layer 2,Cabinet 1 — front left,Cabinet1DrawerCabinetHighChannelBackLayer1Body,-Y,5.7999999999999545,914.8,79.20000000000002,71187.19518537365,7,14,profiles/Cabinet1DrawerCabinetHighChannelBackLayer2Body.dxf
Cabinet2DrawerFaceFrameOuterBody,Cabinet 2 drawer face frame — outer,Cabinet 2 — front right,Cabinet2DrawerFaceFrameInnerBody,+X,5.800000000000182,766.0000000000015,359.59999999999917,44215.30364214216,2,374,profiles/Cabinet2DrawerFaceFrameOuterBody.dxf
Cabinet2DrawerFaceFrameInnerBody,Cabinet 2 drawer face frame — inner,Cabinet 2 — front right,Cabinet2DrawerFaceFrameOuterBody,-X,5.800000000010641,765.9999999999997,359.5999999999977,44095.82364211606,4,382,profiles/Cabinet2DrawerFaceFrameInnerBody.dxf
Cabinet2CenterSupportOuterBody,Center top support — outer001,Cabinet 2 — front right,Cabinet2CenterSupportInnerBody,-Y,5.800000000000011,961.4000000000103,34.19999999999777,25996.88548245659,1,52,profiles/Cabinet2CenterSupportOuterBody.dxf
Cabinet2CenterSupportInnerBody,Center top support — inner001,Cabinet 2 — front right,Cabinet2CenterSupportOuterBody,+Y,5.800000000000011,961.4000000000103,34.19999999999777,25996.885482458365,1,52,profiles/Cabinet2CenterSupportInnerBody.dxf
Cabinet2DrawerFaceOuterBody,Drawer face — outer001,Cabinet 2 drawer,Cabinet2DrawerFaceInnerBody,+X,5.800000000000182,715.6,309.20000000000005,202768.2376925219,3,326,profiles/Cabinet2DrawerFaceOuterBody.dxf
Cabinet2DrawerFaceInnerBody,Drawer face — inner001,Cabinet 2 drawer,Cabinet2DrawerFaceOuterBody,-X,5.800000000000182,715.6000000000001,309.20000000000005,198773.77769252183,15,360,profiles/Cabinet2DrawerFaceInnerBody.dxf
Cabinet2DrawerSideLowOuterBody,Drawer side — lowouter001,Cabinet 2 drawer,Cabinet2DrawerSideLowInnerBody,-Y,5.800000000000168,947.8000000000002,177.8,164031.5368146895,7,70,profiles/Cabinet2DrawerSideLowOuterBody.dxf
Cabinet2DrawerSideLowInnerBody,Drawer side — lowinner001,Cabinet 2 drawer,Cabinet2DrawerSideLowOuterBody,+Y,5.800000000000068,947.8000000000015,177.8,164031.53681469182,7,70,profiles/Cabinet2DrawerSideLowInnerBody.dxf
Cabinet2DrawerSideHighInnerBody,Drawer side — highinner001,Cabinet 2 drawer,Cabinet2DrawerSideHighOuterBody,-Y,5.7999999999999545,947.8000000000025,177.8,164031.53681469202,7,70,profiles/Cabinet2DrawerSideHighInnerBody.dxf
Cabinet2DrawerSideHighOuterBody,Drawer side — highouter001,Cabinet 2 drawer,Cabinet2DrawerSideHighInnerBody,+Y,5.800000000000978,947.8000000000022,177.8,164031.53681466094,7,70,profiles/Cabinet2DrawerSideHighOuterBody.dxf
Cabinet2DrawerBackInnerBody,Drawer back — inner001,Cabinet 2 drawer,Cabinet2DrawerBackOuterBody,+X,5.800000000003138,693.4,177.8,118862.74318525888,7,74,profiles/Cabinet2DrawerBackInnerBody.dxf
Cabinet2DrawerBackOuterBody,Drawer back — outer001,Cabinet 2 drawer,Cabinet2DrawerBackInnerBody,-X,5.80000000000814,693.4,177.8,118862.74318509645,7,74,profiles/Cabinet2DrawerBackOuterBody.dxf
Cabinet2DrawerBottomBody,Drawer bottom — single ply001,Cabinet 2 drawer,,+Z,5.799999999999997,947.8000000000013,693.3999999999988,637560.9909649112,1,100,profiles/Cabinet2DrawerBottomBody.dxf
Cabinet2DrawerLowSlideLayer1Body,Drawer slide — low side — layer 001,Cabinet 2 drawer,Cabinet2DrawerLowSlideLayer2Body,-Y,5.800000000000001,928.3999999999999,25.400000000000016,23386.358811332866,3,6,profiles/Cabinet2DrawerLowSlideLayer1Body.dxf
Cabinet2DrawerLowSlideLayer2Body,Drawer slide — low side — layer 002,Cabinet 2 drawer,Cabinet2DrawerLowSlideLayer1Body,+Y,5.800000000000001,928.3999999999999,25.400000000000016,23386.358811332873,3,6,profiles/Cabinet2DrawerLowSlideLayer2Body.dxf
Cabinet2DrawerHighSlideLayer1Body,Drawer slide — high side — layer 001,Cabinet 2 drawer,Cabinet2DrawerHighSlideLayer2Body,-Y,5.7999999999999545,928.3999999999999,25.400000000000016,23386.358811333004,3,6,profiles/Cabinet2DrawerHighSlideLayer1Body.dxf
Cabinet2DrawerHighSlideLayer2Body,Drawer slide — high side — layer 002,Cabinet 2 drawer,Cabinet2DrawerHighSlideLayer1Body,+Y,5.7999999999999545,928.3999999999999,25.400000000000016,23386.358811333,3,6,profiles/Cabinet2DrawerHighSlideLayer2Body.dxf
Cabinet2DrawerCabinetLowSupportLayer3Body,Cabinet 2 drawer cabinet lowsupport strip — layer 3,Cabinet 2 — front right,Cabinet2DrawerCabinetLowSupportLayer4Body,-Y,5.800000000000001,914.8000000000002,25.400000000000016,23040.918811332864,3,6,profiles/Cabinet2DrawerCabinetLowSupportLayer3Body.dxf
Cabinet2DrawerCabinetLowSupportLayer4Body,Cabinet 2 drawer cabinet lowsupport strip — layer 4,Cabinet 2 — front right,Cabinet2DrawerCabinetLowSupportLayer3Body,+Y,5.799999999999997,914.8000000000002,25.400000000000016,23040.918811332886,3,6,profiles/Cabinet2DrawerCabinetLowSupportLayer4Body.dxf
Cabinet2DrawerCabinetLowAntiTipLayer3Body,Cabinet 2 drawer cabinet lowantitip strip — layer 3,Cabinet 2 — front right,Cabinet2DrawerCabinetLowAntiTipLayer4Body,-Y,5.800000000000001,914.8000000000002,25.400000000000016,23040.918811332864,3,6,profiles/Cabinet2DrawerCabinetLowAntiTipLayer3Body.dxf
Cabinet2DrawerCabinetLowAntiTipLayer4Body,Cabinet 2 drawer cabinet lowantitip strip — layer 4,Cabinet 2 — front right,Cabinet2DrawerCabinetLowAntiTipLayer3Body,+Y,5.799999999999997,914.8000000000002,25.400000000000016,23040.918811332886,3,6,profiles/Cabinet2DrawerCabinetLowAntiTipLayer4Body.dxf
Cabinet2DrawerCabinetHighSupportLayer3Body,Cabinet 2 drawer cabinet highsupport strip — layer 3,Cabinet 2 — front right,Cabinet2DrawerCabinetHighSupportLayer4Body,+Y,5.7999999999999545,914.8000000000002,25.400000000000016,23040.918811332987,3,6,profiles/Cabinet2DrawerCabinetHighSupportLayer3Body.dxf
Cabinet2DrawerCabinetHighSupportLayer4Body,Cabinet 2 drawer cabinet highsupport strip — layer 4,Cabinet 2 — front right,Cabinet2DrawerCabinetHighSupportLayer3Body,-Y,5.7999999999999545,914.8000000000002,25.400000000000016,23040.918811332987,3,6,profiles/Cabinet2DrawerCabinetHighSupportLayer4Body.dxf
Cabinet2DrawerCabinetHighAntiTipLayer3Body,Cabinet 2 drawer cabinet highantitip strip — layer 3,Cabinet 2 — front right,Cabinet2DrawerCabinetHighAntiTipLayer4Body,+Y,5.7999999999999545,914.8000000000002,25.400000000000016,23040.918811332995,3,6,profiles/Cabinet2DrawerCabinetHighAntiTipLayer3Body.dxf
Cabinet2DrawerCabinetHighAntiTipLayer4Body,Cabinet 2 drawer cabinet highantitip strip — layer 4,Cabinet 2 — front right,Cabinet2DrawerCabinetHighAntiTipLayer3Body,-Y,5.7999999999999545,914.8000000000002,25.400000000000016,23040.918811332995,3,6,profiles/Cabinet2DrawerCabinetHighAntiTipLayer4Body.dxf
Cabinet2DrawerCabinetLowChannelBackLayer1Body,Cabinet 2 drawer cabinet low channel back — layer 1,Cabinet 2 — front right,Cabinet2DrawerCabinetLowChannelBackLayer2Body,-Y,5.799999999999999,914.8000000000002,79.20000000000002,71187.19518537333,7,14,profiles/Cabinet2DrawerCabinetLowChannelBackLayer1Body.dxf
Cabinet2DrawerCabinetLowChannelBackLayer2Body,Cabinet 2 drawer cabinet low channel back — layer 2,Cabinet 2 — front right,Cabinet2DrawerCabinetLowChannelBackLayer1Body,+Y,5.800000000000001,914.8000000000002,79.20000000000002,71187.19518537333,7,14,profiles/Cabinet2DrawerCabinetLowChannelBackLayer2Body.dxf
Cabinet2DrawerCabinetHighChannelBackLayer1Body,Cabinet 2 drawer cabinet high channel back — layer 1,Cabinet 2 — front right,Cabinet2DrawerCabinetHighChannelBackLayer2Body,+Y,5.7999999999999545,914.8000000000002,79.20000000000002,71187.19518537371,7,14,profiles/Cabinet2DrawerCabinetHighChannelBackLayer1Body.dxf
Cabinet2DrawerCabinetHighChannelBackLayer2Body,Cabinet 2 drawer cabinet high channel back — layer 2,Cabinet 2 — front right,Cabinet2DrawerCabinetHighChannelBackLayer1Body,-Y,5.7999999999999545,914.8000000000002,79.20000000000002,71187.19518537365,7,14,profiles/Cabinet2DrawerCabinetHighChannelBackLayer2Body.dxf
Cabinet3DrawerFaceFrameOuterBody,Cabinet 3 drawer face frame — outer,Cabinet 3 — front left,Cabinet3DrawerFaceFrameInnerBody,-X,5.800000000000011,765.9999999999955,359.5999999999994,44215.303642168044,2,374,profiles/Cabinet3DrawerFaceFrameOuterBody.dxf
Cabinet3DrawerFaceFrameInnerBody,Cabinet 3 drawer face frame — inner,Cabinet 3 — front left,Cabinet3DrawerFaceFrameOuterBody,+X,5.800000000000864,765.9999999999945,359.5999999999984,44095.82364215617,4,382,profiles/Cabinet3DrawerFaceFrameInnerBody.dxf
